model,accuracy,f1,auc_roc,auprc,fpr,precision,recall
RF,0.9352,0.2642,0.814,0.3103,0.0088,0.5876,0.1704
LGB,0.9365,0.273,0.8415,0.3622,0.0077,0.625,0.1746
DT,0.8925,0.2299,0.5878,0.1052,0.0593,0.2252,0.2349
SVM,0.9322,0.0786,0.7393,0.2887,0.0026,0.5479,0.0423
NB,0.8929,0.2976,0.7725,0.2215,0.066,0.2695,0.3323
MLP,0.9362,0.2953,0.8273,0.3439,0.0095,0.6006,0.1958
PU+RF,0.9336,0.3147,0.8327,0.3332,0.0144,0.5328,0.2233
PU+LGB,0.9363,0.2866,0.8418,0.36,0.0088,0.6103,0.1873
PU+DT,0.9084,0.3073,0.7453,0.2305,0.0468,0.3179,0.2974
PU+SVM,0.9328,0.1531,0.7132,0.271,0.0053,0.5526,0.0889
PU+NB,0.8929,0.2976,0.7725,0.2216,0.066,0.2695,0.3323
PhytoRNP_PSLM,0.9466,0.616,0.95,0.648,0.0299,,
